Street,Area,Price,sqm,Rooms,PricePerSqm,lat,lng
Fraunhoferstraße  22,Charlottenburg(Charlottenburg),2355.86,168.24,5,14.002971944840704,52.5157874,13.3180435
Bismarckstraße  80,Charlottenburg(Charlottenburg),2225.7,148.38,3,15.0,52.5112079,13.304678
Huttenstraße 72,Tiergarten(Tiergarten),1541.0,119.47,4,12.898635640746631,52.5272978,13.3281416
Zeppelinstr. 85,Spandau(Spandau),497.17,60.52,2,8.214970257766028,52.5463376,13.184756
Groener Straße 19,Spandau(Spandau),1016.0,112.67,4,9.017484689802076,52.5432213,13.203022
Weverstr. 7,Spandau(Spandau),532.19,65.46,2,8.130003055300948,52.5196602,13.2010915
Am Hohen Feld 125a,Karow(Weißensee),1158.95,89.15,3,13.0,52.6139744,13.4961257
Am Hohen Feld 125a,Karow(Weißensee),799.32,66.61,2,12.0,52.6139744,13.4961257
Alt-Britz 88,Britz(Neukölln),950.0,112.0,3,8.482142857142858,52.4464122,13.4362187
Mariendorfer Weg 53,Neukölln(Neukölln),1341.0,95.81,4,13.996451309884145,52.46399419999999,13.4276051
Alt-Müggelheim 17,Müggelheim(Köpenick),833.0,86.2,3,9.663573085846867,52.41229370000001,13.6625518
Glienicker Str. 6,Köpenick(Köpenick),753.3,77.82,3,9.680030840400926,52.6176925,13.3084232
Danziger Straße 73,PrenzlauerBerg(PrenzlauerBerg),1749.0,92.62,3,18.883610451306414,52.5395352,13.4253634
Luisenstraße 50,Mitte(Mitte),1530.0,102.0,3,15.0,52.5241032,13.3795755
